publisher,journal_title,acronym,issn,eissn,oa_model,subject_area,imprint,scope,journal_url,index_wos,scopus_covered,jif_2024,jif_quartile,citescore_2024,citescore_quartile,sjr_2024,sjr_quartile,best_quartile,quartile_basis,list_context,source_file,source_sheet,source_row
IEEE,IEEE Open Access Journal of Power and Energy,OAJPE,,2687-7910,Full Open Access,,,,,ESCI,,3.2,Q3,7,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,13
IEEE,IEEE Open Journal of Antennas and Propagation,OJAP,,2637-6431,Full Open Access,,,,,ESCI,,3.6,Q2,7.4,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,14
IEEE,IEEE Open Journal of Circuits and Systems,OJCAS,,2644-1225,Full Open Access,,,,,ESCI,,2.4,Q2,5.9,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,15
IEEE,IEEE Open Journal of Control Systems,OJ-CSS,,2694-085X,Full Open Access,,,,,,,1.2,Q4,2.3,,,,Q4,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,16
IEEE,IEEE Open Journal of Engineering in Medicine and Biology,OJEMB,,2644-1276,Full Open Access,,,,,ESCI,,2.9,Q3,4.5,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,17
IEEE,IEEE Open Journal of Industry Applications,OJIA,,2644-1241,Full Open Access,,,,,ESCI,,3.3,Q1,11.6,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,18
IEEE,IEEE Open Journal of Instrumentation and Measurement,OJIM,,2768-7236,Full Open Access,,,,,,,1.5,Q3,2.7,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,19
IEEE,IEEE Open Journal of Intelligent Transportation Systems,OJITS,,2687-7813,Full Open Access,,,,,ESCI,,5.3,Q2,8.8,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,20
IEEE,IEEE Open Journal of Nanotechnology,OJNANO,,2644-1292,Full Open Access,,,,,ESCI,,1.9,Q3,3.9,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,21
IEEE,IEEE Open Journal of Power Electronics,OJPEL,,2644-1314,Full Open Access,,,,,ESCI,,3.9,Q1,9.1,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,22
IEEE,IEEE Open Journal of Signal Processing,OJSP,,2644-1322,Full Open Access,,,,,ESCI,,2.7,Q2,5,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,23
IEEE,IEEE Open Journal of Systems Engineering,OJSE,,2771-9987,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,24
IEEE,IEEE Open Journal of the Communications Society,OJCOMS,,2644-125X,Full Open Access,,,,,ESCI,,6.1,Q1,10.5,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,25
IEEE,IEEE Open Journal of the Computer Society,OJCS,,2644-1268,Full Open Access,,,,,ESCI,,8.2,Q1,11.9,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,26
IEEE,IEEE Open Journal of the Industrial Electronics Society,OJIES,,2644-1284,Full Open Access,,,,,ESCI,,4.3,Q1,11.1,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,27
IEEE,IEEE Open Journal of the Solid-State Circuits Society,OJSSCS,,2644-1349,Full Open Access,,,,,,,3.2,Q2,6.7,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,28
IEEE,"IEEE Open Journal of Ultrasonics, Ferroelectrics, and Frequency Control",OJUFFC,,2694-0884,Full Open Access,,,,,,,2.9,Q2,,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,29
IEEE,IEEE Open Journal of Vehicular Technology,OJVT,,2644-1330,Full Open Access,,,,,ESCI,,4.8,Q1,8.3,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,30
IEEE,IEEE Open Journal on Immersive Displays,OJID,,2836-211X,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,31
IEEE,IEEE Photonics Journal,JPHOT,1943-0647,1943-0655,Full Open Access,,,,,SCIE,,2.4,Q3,5.1,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,32
IEEE,IEEE Sensors Reviews,JSR,2995-7478,2995-7478,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,33
IEEE,"IEEE Systems, Man, and Cybernetics Letters",LSMC,,2836-628X,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,34
IEEE,IEEE Transactions on Machine Learning in Communications and Networking,T-MLCN,,2831-316X,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,35
IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,T-NSRE,1534-4320,1558-0210,Full Open Access,,,,,SCIE,,5.2,Q1,9.1,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,36
IEEE,IEEE Transactions on Privacy,TP,,2836-208X,Full Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,37
IEEE,IEEE Transactions on Quantum Engineering,TQE,,2689-1808,Full Open Access,,,,,,,4.6,Q1,9.2,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,38
IEEE,Computer,M-C,0018-9162,1558-0814,Hybrid Open Access,,,,,SCIE,,2.3,Q3,4.4,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,39
IEEE,Computing in Science & Engineering,CiSE,1521-9615,1558-366X,Hybrid Open Access,,,,,SCIE,,1.9,Q3,5.1,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,40
IEEE,IEEE Annals of the History of Computing,M-AHC,1058-6180,1934-1547,Hybrid Open Access,,,,,SCIE,,0.7,Q4,1,,,,Q4,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,41
IEEE,IEEE Antennas and Propagation Magazine,M-AP,1045-9243,1558-4143,Hybrid Open Access,,,,,SCIE,,5.7,Q2,7.8,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,42
IEEE,IEEE Antennas and Wireless Propagation Letters,L-AWP,1536-1225,1548-5757,Hybrid Open Access,,,,,SCIE,,4.8,Q1,7.6,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,43
IEEE,IEEE BITS the Information Theory Magazine,M-BITS,2692-4080,2692-4110,Hybrid Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,44
IEEE,IEEE Canadian Journal of Electrical and Computer Engineering,J-CJECE,,2694-1783,Hybrid Open Access,,,,,SCIE,,1.9,Q3,6.4,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,45
IEEE,IEEE Communications Letters,L-COMM,1089-7798,1558-2558,Hybrid Open Access,,,,,SCIE,,4.4,Q2,9,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,46
IEEE,IEEE Communications Magazine,M-COMM,0163-6804,1558-1896,Hybrid Open Access,,,,,SCIE,,8.2,Q1,16.9,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,47
IEEE,IEEE Communications Standards Magazine,M-COMSTD,2471-2825,2471-2833,Hybrid Open Access,,,,,,,,,16.2,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,48
IEEE,IEEE Communications Surveys and Tutorials,COMST,,1553-877X,Hybrid Open Access,,,,,SCIE,,46.7,Q1,86.2,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,49
IEEE,IEEE Computational Intelligence Letters Coming in 2026!,CI-L,,3070-1139,Hybrid Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,50
IEEE,IEEE Computer Architecture Letters,L-CA,1556-6056,1556-6064,Hybrid Open Access,,,,,SCIE,,1.4,Q3,2.9,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,51
IEEE,IEEE Computer Graphics and Applications,M-CG&A,0272-1716,1558-1756,Hybrid Open Access,,,,,SCIE,,1.4,Q3,3.8,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,52
IEEE,IEEE Control Systems Letters,L-CSS,,2475-1456,Hybrid Open Access,,,,,ESCI,,2,Q3,5.1,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,53
IEEE,IEEE Electrical Insulation Magazine,M-EI,0883-7554,1558-4402,Hybrid Open Access,,,,,SCIE,,1.3,Q3,3.6,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,54
IEEE,IEEE Electron Device Letters,L-ED,0741-3106,1558-0563,Hybrid Open Access,,,,,SCIE,,4.5,Q2,7.6,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,55
IEEE,IEEE Electron Devices Magazine,ED-M,2832-7683,2832-7691,Hybrid Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,56
IEEE,IEEE Electron Devices Reviews,EDR,2995-424X,2995-424X,Hybrid Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,57
IEEE,IEEE Embedded Systems Letters,L-ES,1943-0663,1943-0671,Hybrid Open Access,,,,,SCIE,,2,Q4,3.4,,,,Q4,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,58
IEEE,IEEE Engineering Management Review,R-EM,0360-8581,1937-4178,Hybrid Open Access,,,,,,,,,4.9,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,59
IEEE,IEEE Geoscience and Remote Sensing Letters,L-GRS,1545-598X,1558-0571,Hybrid Open Access,,,,,SCIE,,4.4,Q2,9,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,60
IEEE,IEEE Geoscience and Remote Sensing Magazine,M-GRS,2473-2397,2168-6831,Hybrid Open Access,,,,,SCIE,,16.4,Q1,27.1,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,61
IEEE,IEEE Industry Applications Magazine,M-IA,1077-2618,1558-0598,Hybrid Open Access,,,,,SCIE,,0.8,Q4,1.7,,,,Q4,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,62
IEEE,IEEE Instrumentation & Measurement Magazine,M-IM,1094-6969,1941-0123,Hybrid Open Access,,,,,SCIE,,1.6,Q3,4.1,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,63
IEEE,IEEE Intelligent Systems,M-IS,1541-1672,1941-1294,Hybrid Open Access,,,,,SCIE,,6.1,Q1,13.6,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,64
IEEE,IEEE Internet Computing,M-IC,1089-7801,1941-0131,Hybrid Open Access,,,,,SCIE,,4.4,Q2,9.9,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,65
IEEE,IEEE Internet of Things Journal,J-IOT,2327-4662,2327-4662,Hybrid Open Access,,,,,SCIE,,8.9,Q1,16.3,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,66
IEEE,IEEE Internet of Things Magazine,M-IOT,2576-3180,2576-3199,Hybrid Open Access,,,,,,,,,6.8,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,67
IEEE,IEEE Journal of Biomedical and Health Informatics,J-BHI,2168-2194,2168-2208,Hybrid Open Access,,,,,SCIE,,6.8,Q1,13.5,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,68
IEEE,"IEEE Journal of Electromagnetics, RF and Microwaves in Medicine and Biology",J-ERM,2469-7249,2469-7257,Hybrid Open Access,,,,,ESCI,,3.2,Q2,8.1,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,69
IEEE,IEEE Journal of Emerging and Selected Topics in Industrial Electronics,J-ESTIE,2687-9735,2687-9743,Hybrid Open Access,,,,,,,4,Q2,,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,70
IEEE,IEEE Journal of Emerging and Selected Topics in Power Electronics,J-ESTPE,2168-6777,2168-6785,Hybrid Open Access,,,,,SCIE,,4.9,Q1,12.8,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,71
IEEE,IEEE Journal of Oceanic Engineering,J-OE,0364-9059,1558-1691,Hybrid Open Access,,,,,SCIE,,5.3,Q1,9.3,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,72
IEEE,IEEE Journal of Photovoltaics,J-PHOTOV,2156-3381,2156-3403,Hybrid Open Access,,,,,SCIE,,2.6,Q3,6.7,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,73
IEEE,IEEE Journal of Quantum Electronics,J-QE,0018-9197,1558-1713,Hybrid Open Access,,,,,SCIE,,2.1,Q3,4.2,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,74
IEEE,IEEE Journal of Radio Frequency Identification,J-RFID,,2469-7281,Hybrid Open Access,,,,,ESCI,,3.4,Q2,6.1,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,75
IEEE,IEEE Journal of Selected Topics in Quantum Electronics,J-STQE,1077-260X,1558-4542,Hybrid Open Access,,,,,SCIE,,5.1,Q2,9.9,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,76
IEEE,IEEE Journal of Selected Topics in Signal Processing,J-STSP,1932-4553,1941-0484,Hybrid Open Access,,,,,SCIE,,13.7,Q1,24.3,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,77
IEEE,IEEE Journal of Solid-State Circuits,J-SSC,0018-9200,1558-173X,Hybrid Open Access,,,,,SCIE,,5.6,Q1,11.1,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,78
IEEE,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,JETCAS,2156-3357,2156-3365,Hybrid Open Access,,,,,SCIE,,3.8,Q1,9.6,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,79
IEEE,IEEE Journal on Flexible Electronics,J-FLEX,,2768-167X,Hybrid Open Access,,,,,,,,,3.4,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,80
IEEE,IEEE Journal on Miniaturization for Air and Space Systems,J-MASS,,2576-3164,Hybrid Open Access,,,,,,,2.1,Q2,5.9,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,81
IEEE,IEEE Journal on Multiscale and Multiphysics Computational Techniques,J-MMCT,,2379-8793,Hybrid Open Access,,,,,ESCI,,1.5,Q3,3.8,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,82
IEEE,IEEE Journal on Selected Areas in Communications,J-SAC,0733-8716,1558-0008,Hybrid Open Access,,,,,SCIE,,17.2,Q1,33.6,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,83
IEEE,IEEE Journal on Selected Areas in Information Theory,J-SAIT,,2641-8770,Hybrid Open Access,,,,,,,2.2,Q2,7.5,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,84
IEEE,IEEE Journal on Wireless Power Technologies Coming in 2026!,J-WPT,3066-5736,,Hybrid Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,85
IEEE,IEEE Letters on Electromagnetic Compatibility Practice and Applications,L-EMCPA,,2637-6423,Hybrid Open Access,,,,,ESCI,,1,Q4,,,,,Q4,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,86
IEEE,IEEE Magnetics Letters,L-MAG,1949-307X,1949-3088,Hybrid Open Access,,,,,SCIE,,1.4,Q4,2.7,,,,Q4,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,87
IEEE,IEEE Micro,M-MICRO,0272-1732,1937-4143,Hybrid Open Access,,,,,SCIE,,2.9,Q2,7.1,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,88
IEEE,IEEE Microwave and Wireless Technology Letters**,L-MWT,2771-957X,2771-9588,Hybrid Open Access,,,,,SCIE,,3.4,Q2,6.3,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,89
IEEE,IEEE MultiMedia,M-MULTI,1070-986X,1941-0166,Hybrid Open Access,,,,,SCIE,,3.3,Q2,7.1,,,,Q2,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,90
IEEE,IEEE Network,M-NET,0890-8044,1558-156X,Hybrid Open Access,,,,,SCIE,,6.3,Q1,16.2,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,91
IEEE,IEEE Networking Letters,L-NET,,2576-3156,Hybrid Open Access,,,,,,,,,5.3,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,92
IEEE,IEEE Pervasive Computing,M-PVC,1536-1268,1558-2590,Hybrid Open Access,,,,,SCIE,,1.8,Q3,4.3,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,93
IEEE,IEEE Photonics Technology Letters,L-PT,1041-1135,1941-0174,Hybrid Open Access,,,,,SCIE,,2.5,Q3,4.9,,,,Q3,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,94
IEEE,IEEE Reliability Magazine,M-RL,,2641-8819,Hybrid Open Access,,,,,,,,,,,,,,not stated in source list,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,95
IEEE,IEEE Reviews in Biomedical Engineering,R-BME,1937-3333,1941-1189,Hybrid Open Access,,,,,SCIE,,12,Q1,43.2,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,96
IEEE,IEEE Revista Iberoamericana de Technologias del Aprendizaje,IEEE-RITA,,1932-8540,Hybrid Open Access,,,,,ESCI,,1,Q4,4,,,,Q4,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,97
IEEE,IEEE Robotics & Automation Magazine,M-RA,1070-9932,1558-223X,Hybrid Open Access,,,,,SCIE,,7.1,Q1,7.9,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,98
IEEE,IEEE Robotics and Automation Letters,L-RA,2377-3766,2377-3766,Hybrid Open Access,,,,,SCIE,,5.3,Q1,10.3,,,,Q1,JIF 2024,IEEE title list with open-access type and 2024 JCR/CiteScore metrics; data stated accurate as of 1 January 2026,IEEE.xlsx,Title List,99
